Name: Luis Angel Cabral Guzman
Date: 2021-07-05

COMBINATION ID., IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
1, 0, SHITOMASI, BRISK, 1370, 125, 23.2132, 1.71889, 0, 0
1, 1, SHITOMASI, BRISK, 1301, 118, 19.3884, 2.65179, 95, 0.629971
1, 2, SHITOMASI, BRISK, 1361, 123, 18.8726, 2.66633, 88, 0.549518
1, 3, SHITOMASI, BRISK, 1358, 120, 19.2571, 2.58552, 80, 0.558982
1, 4, SHITOMASI, BRISK, 1333, 120, 18.4218, 2.59225, 90, 0.545949
1, 5, SHITOMASI, BRISK, 1284, 113, 19.3973, 2.48409, 82, 0.578013
1, 6, SHITOMASI, BRISK, 1322, 114, 18.3483, 2.50437, 79, 0.517871
1, 7, SHITOMASI, BRISK, 1366, 123, 18.0733, 2.66141, 85, 0.530454
1, 8, SHITOMASI, BRISK, 1389, 111, 18.519, 2.50825, 86, 0.537726
1, 9, SHITOMASI, BRISK, 1339, 112, 18.7828, 2.59308, 82, 0.488122

2, 0, SHITOMASI, BRIEF, 1370, 125, 18.3568, 1.9109, 0, 0
2, 1, SHITOMASI, BRIEF, 1301, 118, 17.9349, 1.71038, 115, 0.602088
2, 2, SHITOMASI, BRIEF, 1361, 123, 16.9182, 1.40934, 111, 0.50385
2, 3, SHITOMASI, BRIEF, 1358, 120, 17.3247, 1.51424, 104, 0.50668
2, 4, SHITOMASI, BRIEF, 1333, 120, 17.2353, 1.71978, 101, 0.501597
2, 5, SHITOMASI, BRIEF, 1284, 113, 18.8143, 1.36538, 102, 0.470067
2, 6, SHITOMASI, BRIEF, 1322, 114, 18.1655, 1.40494, 102, 0.462862
2, 7, SHITOMASI, BRIEF, 1366, 123, 17.5233, 1.36727, 100, 0.496125
2, 8, SHITOMASI, BRIEF, 1389, 111, 18.2781, 1.40378, 109, 0.480812
2, 9, SHITOMASI, BRIEF, 1339, 112, 19.0582, 1.40849, 100, 0.436108

3, 0, SHITOMASI, ORB, 1370, 125, 17.013, 1.9301, 0, 0
3, 1, SHITOMASI, ORB, 1301, 118, 18.3867, 1.29544, 106, 0.577289
3, 2, SHITOMASI, ORB, 1361, 123, 17.6145, 1.01333, 102, 0.776477
3, 3, SHITOMASI, ORB, 1358, 120, 18.113, 1.1774, 99, 0.579601
3, 4, SHITOMASI, ORB, 1333, 120, 18.4248, 1.17902, 102, 0.550245
3, 5, SHITOMASI, ORB, 1284, 113, 17.8843, 1.16187, 103, 0.552049
3, 6, SHITOMASI, ORB, 1322, 114, 17.7527, 1.14283, 97, 0.518986
3, 7, SHITOMASI, ORB, 1366, 123, 19.236, 1.24618, 98, 0.548542
3, 8, SHITOMASI, ORB, 1389, 111, 20.1283, 1.14511, 104, 0.522879
3, 9, SHITOMASI, ORB, 1339, 112, 19.4049, 1.12599, 97, 0.49818

4, 0, SHITOMASI, FREAK, 1370, 125, 18.09, 52.606, 0, 0
4, 1, SHITOMASI, FREAK, 1301, 118, 19.33, 48.7026, 86, 0.553465
4, 2, SHITOMASI, FREAK, 1361, 123, 12.9184, 48.3015, 90, 0.571997
4, 3, SHITOMASI, FREAK, 1358, 120, 12.8621, 48.7973, 86, 0.546916
4, 4, SHITOMASI, FREAK, 1333, 120, 12.231, 47.9087, 88, 0.55572
4, 5, SHITOMASI, FREAK, 1284, 113, 14.6637, 49.3986, 86, 0.560119
4, 6, SHITOMASI, FREAK, 1322, 114, 12.1992, 47.9085, 80, 0.503863
4, 7, SHITOMASI, FREAK, 1366, 123, 13.636, 48.2498, 81, 0.52231
4, 8, SHITOMASI, FREAK, 1389, 111, 12.0564, 48.4261, 86, 0.537398
4, 9, SHITOMASI, FREAK, 1339, 112, 13.6378, 48.577, 85, 0.500305

5, 0, SHITOMASI, SIFT, 1370, 125, 12.5124, 20.8704, 0, 0
5, 1, SHITOMASI, SIFT, 1301, 118, 12.7673, 18.4581, 73, 0.636462
5, 2, SHITOMASI, SIFT, 1361, 123, 19.1135, 18.9868, 70, 0.902437
5, 3, SHITOMASI, SIFT, 1358, 120, 20.1262, 17.6873, 65, 0.621922
5, 4, SHITOMASI, SIFT, 1333, 120, 11.8853, 20.1512, 72, 0.600537
5, 5, SHITOMASI, SIFT, 1284, 113, 18.1905, 17.0412, 62, 0.577611
5, 6, SHITOMASI, SIFT, 1322, 114, 13.581, 21.6809, 62, 0.551378
5, 7, SHITOMASI, SIFT, 1366, 123, 11.7713, 19.7203, 74, 0.627975
5, 8, SHITOMASI, SIFT, 1389, 111, 13.1848, 17.2486, 73, 0.584254
5, 9, SHITOMASI, SIFT, 1339, 112, 18.0169, 20.0202, 71, 0.546364

6, 0, HARRIS, BRISK, 3, 0, 13.8346, 0.287646, 0, 0
6, 1, HARRIS, BRISK, 3, 0, 12.4499, 0.317464, 0, 0.023124
6, 2, HARRIS, BRISK, 3, 0, 12.4472, 0.278199, 0, 0.025352
6, 3, HARRIS, BRISK, 3, 0, 12.7452, 0.273916, 0, 0.020623
